tasks_per_goroutine,total_time_ms,throughput_ms,avg_lat_ms,max_lat_ms,min_lat,std_lat,goroutines,workload_type,gomaxprocs
640,1038.00,0.62,1.62,11.06,1.0830,0.97,1,CPU-bound,1
320,952.00,0.67,2.82,65.28,1.0570,7.14,2,CPU-bound,1
160,918.00,0.70,4.98,165.57,1.0580,20.83,4,CPU-bound,1
80,878.00,0.73,7.31,381.88,1.0560,41.76,8,CPU-bound,1
40,833.00,0.77,8.09,617.38,1.0570,53.97,16,CPU-bound,1
20,787.00,0.81,4.42,632.08,1.0580,38.48,32,CPU-bound,1
10,817.00,0.78,4.51,739.62,1.0560,47.62,64,CPU-bound,1
640,3087.00,0.21,4.82,54.97,3.0060,3.22,1,IO-bound,1
320,2010.00,0.32,6.28,62.07,3.0030,5.64,2,IO-bound,1
160,929.00,0.69,5.81,42.78,3.0250,3.99,4,IO-bound,1
80,601.00,1.06,7.51,35.28,3.0120,6.01,8,IO-bound,1
40,299.00,2.14,7.49,31.15,3.1020,6.84,16,IO-bound,1
20,119.00,5.38,5.95,13.39,3.1680,2.90,32,IO-bound,1
10,88.00,7.27,8.85,22.65,3.0110,5.90,64,IO-bound,1
640,784.00,0.82,1.23,6.51,1.0580,0.41,1,CPU-bound,2
320,451.00,1.42,1.38,6.55,1.0830,0.52,2,CPU-bound,2
160,458.00,1.40,2.68,75.82,1.0830,7.78,4,CPU-bound,2
80,453.00,1.41,4.67,189.69,1.0820,19.50,8,CPU-bound,2
40,432.00,1.48,6.40,272.77,1.0830,32.57,16,CPU-bound,2
20,386.00,1.66,1.18,4.88,1.0830,0.33,32,CPU-bound,2
10,388.00,1.65,1.20,11.99,1.0830,0.58,64,CPU-bound,2
640,4193.00,0.15,6.55,67.56,3.0180,5.45,1,IO-bound,2
320,1759.00,0.36,5.47,124.54,3.0220,7.06,2,IO-bound,2
160,782.00,0.82,4.86,20.84,3.0030,2.04,4,IO-bound,2
80,377.00,1.70,4.72,18.91,3.0800,1.94,8,IO-bound,2
40,194.00,3.30,4.87,11.56,3.0580,1.50,16,IO-bound,2
20,107.00,5.98,5.38,10.07,3.1840,1.96,32,IO-bound,2
10,102.00,6.27,9.49,51.22,3.2630,13.66,64,IO-bound,2
640,772.00,0.83,1.21,6.14,1.0760,0.39,1,CPU-bound,4
320,801.00,0.80,1.82,367.54,1.0570,14.49,2,CPU-bound,4
160,406.00,1.58,1.28,12.94,1.0620,0.80,4,CPU-bound,4
80,316.00,2.03,1.56,186.87,1.0830,7.35,8,CPU-bound,4
40,264.00,2.42,2.21,92.63,1.0820,7.11,16,CPU-bound,4
20,229.00,2.79,1.30,16.80,1.0830,1.07,32,CPU-bound,4
10,197.00,3.25,1.20,17.04,1.0830,0.91,64,CPU-bound,4
640,3989.00,0.16,6.23,129.24,3.0180,8.12,1,IO-bound,4
320,1546.00,0.41,4.83,28.38,3.0080,2.15,2,IO-bound,4
160,828.00,0.77,5.16,90.07,3.0270,6.74,4,IO-bound,4
80,411.00,1.56,5.13,33.35,3.0310,4.01,8,IO-bound,4
40,223.00,2.87,5.58,11.51,3.0800,2.21,16,IO-bound,4
20,112.00,5.71,5.63,10.77,3.0870,2.13,32,IO-bound,4
10,59.00,10.85,5.92,10.82,3.8350,2.18,64,IO-bound,4
